sub	sess	t	cond	loc	prob	tgt
1	0	999	3	2	999	93
1	0	999	3	9	999	99
1	0	999	3	3	999	94
1	0	999	3	16	999	19
1	0	999	3	12	999	84
1	0	1	1	16	2.500000e-01	13
1	0	2	1	2	2.500000e-01	79
1	0	3	1	7	2.500000e-01	69
1	0	4	1	9	2.500000e-01	29
1	0	5	1	9	2.500000e-01	42
1	0	6	1	7	2.500000e-01	22
1	0	7	1	7	2.500000e-01	19
1	0	8	1	9	2.500000e-01	43
1	0	9	1	7	2.500000e-01	64
1	0	10	1	7	2.500000e-01	27
1	0	11	1	7	2.500000e-01	25
1	0	12	1	7	2.500000e-01	17
1	0	13	1	2	2.500000e-01	66
1	0	14	1	9	2.500000e-01	57
1	0	15	1	7	2.500000e-01	18
1	0	16	1	9	2.500000e-01	21
1	0	17	1	9	2.500000e-01	6
1	0	18	1	2	2.500000e-01	2
1	0	19	1	7	2.500000e-01	48
1	0	20	1	7	2.500000e-01	35
1	0	21	2	12	8.333333e-02	48
1	0	22	2	6	8.333333e-02	24
1	0	23	2	9	8.333333e-02	36
1	0	24	2	12	8.333333e-02	21
1	0	25	2	6	8.333333e-02	44
1	0	26	2	4	8.333333e-02	74
1	0	27	2	4	8.333333e-02	50
1	0	28	2	10	8.333333e-02	20
1	0	29	2	11	8.333333e-02	28
1	0	30	2	8	8.333333e-02	5
1	0	31	2	12	8.333333e-02	34
1	0	32	2	14	8.333333e-02	53
1	0	33	2	10	8.333333e-02	72
1	0	34	2	10	8.333333e-02	31
1	0	35	2	7	8.333333e-02	76
1	0	36	2	7	8.333333e-02	7
1	0	37	2	2	8.333333e-02	1
1	0	38	2	11	8.333333e-02	66
1	0	39	2	11	8.333333e-02	30
1	0	40	2	8	8.333333e-02	78
1	0	41	1	9	2.500000e-01	60
1	0	42	2	1	8.333333e-02	42
1	0	43	2	9	8.333333e-02	70
1	0	44	1	7	2.500000e-01	59
1	0	45	2	7	8.333333e-02	40
1	0	46	2	10	8.333333e-02	61
